intelligence_id,business_id,business_name,investment_band,capex_intensity,working_capital_intensity,roi_category,payback_category,scalability,technology_adoption_requirement,composite_risk,growth_potential,future_outlook,key_success_factor,data_source,source_url,collection_date,confidence_score,verification_status,notes
ii-001,mb-001,Rice Milling Unit,Small,High,High,Moderate,Medium,Low,High,Medium,Stable,Stable,By-product realisation and milling recovery,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-002,mb-002,Dal Milling Unit,Small,High,High,Moderate,Medium,Low,High,Medium,Stable,Stable,Milling recovery percentage,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-003,mb-003,Cold-Pressed Oil Unit,Micro,High,Medium,Attractive,Short,Medium,Very High,Low,Growing,Positive,Premium brand positioning and oil cake sales,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-004,mb-004,Spice Grinding and Packing Unit,Micro,High,Medium,Attractive,Short,Medium,Very High,Medium,Growing,Positive,"Colour value, moisture control and export certification",Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-005,mb-005,Millet Processing Unit,Micro,High,Medium,Moderate,Medium,Medium,High,Medium,Growing,Positive,Dehulling efficiency and nutri-cereal demand capture,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-006,mb-006,Fruit Pulp and Beverage Unit,Small,Medium,High,Moderate,Long,High,High,High,Growing,Positive,Aseptic capability to break seasonality,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-007,mb-007,Cloud Kitchen,Micro,Medium,Medium,Variable,Short,Medium,Very High,High,Growing,Uncertain,Platform rating and unit economics per order,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-008,mb-008,CNC Machining Job Shop,Small,High,Medium,Attractive,Medium,Medium,High,Medium,Growing,Positive,Skilled operator availability and machine utilisation,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,71,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-009,mb-009,Sheet Metal Fabrication Unit,Micro,High,Medium,Moderate,Medium,Low,High,Medium,Stable,Stable,Local order flow and fabrication quality,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,70,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-010,mb-010,Tool and Die Making Unit,Small,High,Medium,Attractive,Long,Medium,Medium,Medium,Stable,Positive,Design skill depth; Tool Room access,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-011,mb-011,Industrial Automation Integration,Micro,Low,Low,Attractive,Short,High,High,Medium,Growing,Strongly Positive,Domain expertise and AMC retention,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,67,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-012,mb-012,Electrical Panel Manufacturing,Micro,High,Medium,Moderate,Medium,Low,High,Medium,Stable,Stable,BIS conformity and inspectorate approval,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-013,mb-013,Foundry (Small Scale),Small,High,High,Variable,Long,Low,Medium,High,Stable,Uncertain,Energy cost management and CPCB compliance,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,66,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-014,mb-014,Custom Software Development Firm,Micro,Very Low,Low,Attractive,Short,High,Very High,Medium,Growing,Strongly Positive,Billable utilisation and client diversification,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,72,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-015,mb-015,SaaS Product Startup,Micro,Very Low,Low,Variable,Long,Very High,High,Very High,Growing,Uncertain,Product-market fit before capital exhaustion,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-016,mb-016,AI Solutions and Consulting,Micro,Very Low,Low,Attractive,Short,Very High,Very High,High,Growing,Strongly Positive,Access to AI talent,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-017,mb-017,Digital Marketing Agency,Micro,Low,Low,Moderate,Short,High,Very High,Medium,Growing,Positive,Differentiation in a crowded market,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-018,mb-018,IT Hardware and Network Services,Micro,Low,Medium,Moderate,Short,Medium,High,Low,Stable,Stable,AMC base for recurring revenue,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,68,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-019,mb-019,Rural BPO / IT-Enabled Services Centre,Micro,Low,Low,Variable,Medium,Medium,Medium,Medium,Stable,Uncertain,Rural connectivity and client retention,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,64,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
ii-020,mb-020,Solar Rooftop EPC Contractor,Micro,Medium,Medium,Attractive,Short,High,Very High,Medium,Growing,Strongly Positive,DISCOM empanelment and installation quality,Derived from msme_businesses.csv attributes; MSME-DI project profile framing,https://msme.gov.in/,2026-07-25,69,VST-NEEDS_REVIEW,"investment_band mirrors udyam_classification; no rupee figure is asserted. roi_category, payback_category and scalability are ordinal judgements, not computed returns"
